repo,alias,remote
adomurad/r2e,r2e,github
adomurad/roc-base64,base64,github
agu-z/roc-pg,pg,github
hasnep/roc-ascii,ascii,github
hasnep/roc-datetimes,dt,github
hasnep/roc-hex,hex,github
hasnep/roc-html,html,github
hasnep/roc-linear-algebra,linalg,github
hasnep/roc-math,math,github
hasnep/roc-svg,svg,github
hasnep/roc-units,units,github
hristog/roc-tools,tools,github
imclerran/roc-ai,ai,github
imclerran/roc-asciiart,art,github
imclerran/roc-heck,heck,github
imclerran/roc-isodate,dt,github
imclerran/roc-reduce,reduce,github
imclerran/roc-sort,sort,github
imclerran/roc-tinyparse,parse,github
imclerran/rtils,rtils,github
imclerran/roc-semver,semver,github
imclerran/roc-utf16,utf16,github
jwoudenberg/rvn,rvn,github
KilianVounckx/crisp,crisp,github
KilianVounckx/okka,okka,github
KilianVounckx/roc_regex,regex,github
KilianVounckx/roc-extra,extra,github
lukewilliamboswell/aoc-template,aoc,github
lukewilliamboswell/plume,plume,github
lukewilliamboswell/roc-ansi,ansi,github
lukewilliamboswell/roc-glue-code-gen,glue,github
lukewilliamboswell/roc-json,json,github
lukewilliamboswell/roc-parser,parser,github
lukewilliamboswell/roc-random,random,github
mulias/roc-array2d,a2d,github
phagenlocher/roc-color,color,github
roc-lang/unicode,unicode,github
shritesh/roc-image,img,github
smores56/roc-query,qry,github
smores56/roc-semver,semver,github
smores56/weaver,weaver,github
Subtlesplendor/roc-data,data,github